year,month,age,portfolio_end,exp_return_annual,variance_annual,inflation_annual,return_step_factor,inflation_step_factor,return_step_pct,monthly_income,monthly_taxed_income,monthly_requested_raw_expenses,monthly_requested_fixed_expenses,monthly_requested_discretionary_expenses,monthly_raw_expenses,monthly_discretionary_expenses,monthly_withdrawl_cap,monthly_fixed_withdrawl_need,monthly_net_expenses,monthly_gross_up,event,assumption_reason
2025,12,50.92,2004690.06,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4600.0,3600.0,1000.0,4083.33,483.33,5833.33,5142.86,4083.33,5833.33,,undefined
2026,1,51.0,2009391.11,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4609.48,3607.42,1002.06,4092.91,485.49,5847.01,5153.45,4092.91,5847.01,,undefined
2026,2,51.08,2014103.19,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4618.97,3614.85,1004.12,4102.51,487.66,5860.72,5164.07,4102.51,5860.72,,undefined
2026,3,51.17,2018826.31,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4628.48,3622.29,1006.19,4112.13,489.84,5874.47,5174.7,4112.13,5874.47,,undefined
2026,4,51.25,2023560.52,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4638.02,3629.75,1008.26,4121.77,492.02,5888.24,5185.36,4121.77,5888.24,,undefined
2026,5,51.33,2028305.82,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4647.57,3637.23,1010.34,4131.44,494.21,5902.05,5196.04,4131.44,5902.05,,undefined
2026,6,51.42,2033062.26,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4657.15,3644.72,1012.42,4141.12,496.4,5915.89,5206.75,4141.12,5915.89,,undefined
2026,7,51.5,2037829.84,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4666.74,3652.23,1014.51,4150.84,498.61,5929.76,5217.47,4150.84,5929.76,,undefined
2026,8,51.58,2042608.61,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4676.35,3659.75,1016.6,4160.57,500.82,5943.67,5228.22,4160.57,5943.67,,undefined
2026,9,51.67,2047398.58,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4685.98,3667.29,1018.69,4170.33,503.03,5957.61,5238.99,4170.33,5957.61,,undefined
2026,10,51.75,2052199.79,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4695.64,3674.85,1020.79,4180.11,505.26,5971.58,5249.78,4180.11,5971.58,,undefined
2026,11,51.83,2057012.26,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4705.31,3682.41,1022.89,4189.91,507.49,5985.58,5260.59,4189.91,5985.58,,undefined
2026,12,51.92,2061836.01,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4715.0,3690.0,1025.0,4199.73,509.73,5999.62,5271.43,4199.73,5999.62,,undefined
2027,1,52.0,2066671.07,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4724.71,3697.6,1027.11,4209.58,511.98,6013.69,5282.29,4209.58,6013.69,,undefined
2027,2,52.08,2071517.47,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4734.44,3705.22,1029.23,4219.45,514.24,6027.79,5293.17,4219.45,6027.79,,undefined
2027,3,52.17,2076375.23,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4744.2,3712.85,1031.35,4229.35,516.5,6041.93,5304.07,4229.35,6041.93,,undefined
2027,4,52.25,2081244.39,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4753.97,3720.5,1033.47,4239.27,518.77,6056.09,5315.0,4239.27,6056.09,,undefined
2027,5,52.33,2086124.97,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4763.76,3728.16,1035.6,4249.21,521.05,6070.3,5325.94,4249.21,6070.3,,undefined
2027,6,52.42,2091016.99,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4773.57,3735.84,1037.73,4259.17,523.33,6084.53,5336.91,4259.17,6084.53,,undefined
2027,7,52.5,2095920.48,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4783.41,3743.54,1039.87,4269.16,525.62,6098.8,5347.91,4269.16,6098.8,,undefined
2027,8,52.58,2100835.47,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4793.26,3751.25,1042.01,4279.17,527.92,6113.1,5358.92,4279.17,6113.1,,undefined
2027,9,52.67,2105761.99,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4803.13,3758.97,1044.16,4289.21,530.23,6127.44,5369.96,4289.21,6127.44,,undefined
2027,10,52.75,2110700.06,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4813.03,3766.72,1046.31,4299.26,532.55,6141.81,5381.02,4299.26,6141.81,,undefined
2027,11,52.83,2115649.71,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4822.94,3774.48,1048.47,4309.35,534.87,6156.21,5392.11,4309.35,6156.21,,undefined
2027,12,52.92,2120610.97,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4832.87,3782.25,1050.62,4319.45,537.2,6170.64,5403.21,4319.45,6170.64,,undefined
2028,1,53.0,2125583.86,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4842.83,3790.04,1052.79,4329.58,539.54,6185.12,5414.34,4329.58,6185.12,,undefined
2028,2,53.08,2130568.41,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4852.81,3797.85,1054.96,4339.73,541.89,6199.62,5425.5,4339.73,6199.62,,undefined
2028,3,53.17,2135564.65,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4862.8,3805.67,1057.13,4349.91,544.24,6214.16,5436.67,4349.91,6214.16,,undefined
2028,4,53.25,2140572.61,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4872.82,3813.51,1059.31,4360.11,546.6,6228.73,5447.87,4360.11,6228.73,,undefined
2028,5,53.33,2145592.31,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4882.86,3821.36,1061.49,4370.34,548.97,6243.34,5459.09,4370.34,6243.34,,undefined
2028,6,53.42,2150623.78,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4892.91,3829.24,1063.68,4380.58,551.35,6257.98,5470.34,4380.58,6257.98,,undefined
2028,7,53.5,2155667.06,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4902.99,3837.12,1065.87,4390.86,553.73,6272.65,5481.61,4390.86,6272.65,,undefined
2028,8,53.58,2160722.16,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4913.09,3845.03,1068.06,4401.15,556.13,6287.36,5492.9,4401.15,6287.36,,undefined
2028,9,53.67,2165789.11,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4923.21,3852.95,1070.26,4411.47,558.53,6302.11,5504.21,4411.47,6302.11,,undefined
2028,10,53.75,2170867.94,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4933.35,3860.88,1072.47,4421.82,560.94,6316.88,5515.55,4421.82,6316.88,,undefined
2028,11,53.83,2175958.69,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4943.51,3868.84,1074.68,4432.19,563.35,6331.7,5526.91,4432.19,6331.7,,undefined
2028,12,53.92,2181061.37,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4953.7,3876.81,1076.89,4442.58,565.78,6346.55,5538.29,4442.58,6346.55,,undefined
2029,1,54.0,2186176.02,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4963.9,3884.79,1079.11,4453.0,568.21,6361.43,5549.7,4453.0,6361.43,,undefined
2029,2,54.08,2191302.67,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4974.13,3892.79,1081.33,4463.44,570.65,6376.35,5561.13,4463.44,6376.35,,undefined
2029,3,54.17,2196441.33,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4984.37,3900.81,1083.56,4473.91,573.1,6391.3,5572.59,4473.91,6391.3,,undefined
2029,4,54.25,2201592.05,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,4994.64,3908.85,1085.79,4484.4,575.55,6406.29,5584.07,4484.4,6406.29,,undefined
2029,5,54.33,2206754.84,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,5004.93,3916.9,1088.03,4494.92,578.02,6421.31,5595.57,4494.92,6421.31,,undefined
2029,6,54.42,2211929.74,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,5015.24,3924.97,1090.27,4505.46,580.49,6436.37,5607.1,4505.46,6436.37,,undefined
2029,7,54.5,2217116.78,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,5025.57,3933.05,1092.51,4516.02,582.97,6451.46,5618.65,4516.02,6451.46,,undefined
2029,8,54.58,2222315.98,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,5035.92,3941.15,1094.76,4526.61,585.46,6466.59,5630.22,4526.61,6466.59,,undefined
2029,9,54.67,2227527.37,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,5046.29,3949.27,1097.02,4537.23,587.96,6481.75,5641.82,4537.23,6481.75,,undefined
2029,10,54.75,2232750.98,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,5056.69,3957.41,1099.28,4547.87,590.46,6496.95,5653.44,4547.87,6496.95,,undefined
2029,11,54.83,2237986.85,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,5067.1,3965.56,1101.54,4558.53,592.98,6512.19,5665.08,4558.53,6512.19,,undefined
2029,12,54.92,2243234.99,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,5077.54,3973.73,1103.81,4569.22,595.5,6527.46,5676.75,4569.22,6527.46,,undefined
2030,1,55.0,2248495.43,0.065,0.02,0.025,0.0052616943,0.0020598363,-99.473831,0.0,0.0,5088.0,3981.91,1106.09,4579.94,598.03,6542.77,5688.45,4579.94,6542.77,,undefined
