year,month,age,portfolio_end,exp_return_annual,variance_annual,inflation_annual,return_step_factor,inflation_step_factor,return_step_pct,monthly_income,monthly_taxed_income,monthly_requested_raw_expenses,monthly_requested_fixed_expenses,monthly_requested_discretionary_expenses,monthly_raw_expenses,monthly_discretionary_expenses,monthly_withdrawl_cap,monthly_fixed_withdrawl_need,monthly_net_expenses,monthly_gross_up,event,assumption_reason
2025,12,50.92,2007809.65,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4600.0,3600.0,1000.0,4083.33,483.33,5833.33,5142.86,4083.33,5833.33,,undefined
2026,1,51.0,2015649.8,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4609.48,3607.42,1002.06,4099.28,491.86,5856.11,5153.45,4099.28,5856.11,,undefined
2026,2,51.08,2023520.57,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4618.97,3614.85,1004.12,4115.29,500.44,5878.98,5164.07,4115.29,5878.98,,undefined
2026,3,51.17,2031422.06,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4628.48,3622.29,1006.19,4131.35,509.06,5901.93,5174.7,4131.35,5901.93,,undefined
2026,4,51.25,2039354.41,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4638.02,3629.75,1008.26,4147.49,517.73,5924.98,5185.36,4147.49,5924.98,,undefined
2026,5,51.33,2047317.74,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4647.57,3637.23,1010.34,4163.68,526.45,5948.12,5196.04,4163.68,5948.12,,undefined
2026,6,51.42,2055312.16,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4657.15,3644.72,1012.42,4179.94,535.22,5971.34,5206.75,4179.94,5971.34,,undefined
2026,7,51.5,2063337.8,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4666.74,3652.23,1014.51,4196.26,544.03,5994.66,5217.47,4196.26,5994.66,,undefined
2026,8,51.58,2071394.77,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4676.35,3659.75,1016.6,4212.65,552.9,6018.07,5228.22,4212.65,6018.07,,undefined
2026,9,51.67,2079483.21,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4685.98,3667.29,1018.69,4229.1,561.81,6041.57,5238.99,4229.1,6041.57,,undefined
2026,10,51.75,2087603.23,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4695.64,3674.85,1020.79,4245.61,570.77,6065.16,5249.78,4245.61,6065.16,,undefined
2026,11,51.83,2095754.96,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4705.31,3682.41,1022.89,4262.19,579.78,6088.84,5260.59,4262.19,6088.84,,undefined
2026,12,51.92,2103938.52,0.085,0.02,0.025,0.0068214934,0.0020598363,-99.317851,0.0,0.0,4715.0,3690.0,1025.0,4278.83,588.83,6112.62,5271.43,4278.83,6112.62,,undefined
