year,month,age,portfolio_end,exp_return_annual,variance_annual,inflation_annual,return_step_factor,inflation_step_factor,return_step_pct,monthly_income,monthly_taxed_income,monthly_requested_raw_expenses,monthly_requested_fixed_expenses,monthly_requested_discretionary_expenses,monthly_raw_expenses,monthly_discretionary_expenses,monthly_withdrawl_cap,monthly_fixed_withdrawl_need,monthly_net_expenses,monthly_gross_up,event,assumption_reason
2025,12,50.92,2001516.29,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4600.0,3600.0,1000.0,4083.33,483.33,5833.33,5142.86,4083.33,5833.33,,undefined
2026,1,51.0,2003033.72,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4609.48,3607.42,1002.06,4086.43,479.01,5837.76,5153.45,4086.43,5837.76,,undefined
2026,2,51.08,2004552.31,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4618.97,3614.85,1004.12,4089.53,474.68,5842.18,5164.07,4089.53,5842.18,,undefined
2026,3,51.17,2006072.04,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4628.48,3622.29,1006.19,4092.63,470.34,5846.61,5174.7,4092.63,5846.61,,undefined
2026,4,51.25,2007592.93,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4638.02,3629.75,1008.26,4095.73,465.98,5851.04,5185.36,4095.73,5851.04,,undefined
2026,5,51.33,2009114.97,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4647.57,3637.23,1010.34,4098.84,461.61,5855.48,5196.04,4098.84,5855.48,,undefined
2026,6,51.42,2010638.17,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4657.15,3644.72,1012.42,4101.94,457.22,5859.92,5206.75,4101.94,5859.92,,undefined
2026,7,51.5,2012162.52,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4666.74,3652.23,1014.51,4105.05,452.82,5864.36,5217.47,4105.05,5864.36,,undefined
2026,8,51.58,2013688.03,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4676.35,3659.75,1016.6,4108.17,448.41,5868.81,5228.22,4108.17,5868.81,,undefined
2026,9,51.67,2015214.69,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4685.98,3667.29,1018.69,4111.28,443.99,5873.26,5238.99,4111.28,5873.26,,undefined
2026,10,51.75,2016742.51,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4695.64,3674.85,1020.79,4114.4,439.55,5877.71,5249.78,4114.4,5877.71,,undefined
2026,11,51.83,2018271.49,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4705.31,3682.41,1022.89,4117.52,435.1,5882.17,5260.59,4117.52,5882.17,,undefined
2026,12,51.92,2019801.63,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4715.0,3690.0,1025.0,4120.64,430.64,5886.63,5271.43,4120.64,5886.63,,undefined
2027,1,52.0,2021332.92,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4724.71,3697.6,1027.11,4123.76,426.16,5891.09,5282.29,4123.76,5891.09,,undefined
2027,2,52.08,2022865.38,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4734.44,3705.22,1029.23,4126.89,421.67,5895.55,5293.17,4126.89,5895.55,,undefined
2027,3,52.17,2024399.0,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4744.2,3712.85,1031.35,4130.02,417.17,5900.02,5304.07,4130.02,5900.02,,undefined
2027,4,52.25,2025933.79,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4753.97,3720.5,1033.47,4133.15,412.65,5904.5,5315.0,4133.15,5904.5,,undefined
2027,5,52.33,2027469.73,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4763.76,3728.16,1035.6,4136.28,408.12,5908.97,5325.94,4136.28,5908.97,,undefined
2027,6,52.42,2029006.85,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4773.57,3735.84,1037.73,4139.42,403.58,5913.45,5336.91,4139.42,5913.45,,undefined
2027,7,52.5,2030545.12,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4783.41,3743.54,1039.87,4142.56,399.02,5917.94,5347.91,4142.56,5917.94,,undefined
2027,8,52.58,2032084.57,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4793.26,3751.25,1042.01,4145.7,394.45,5922.42,5358.92,4145.7,5922.42,,undefined
2027,9,52.67,2033625.18,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4803.13,3758.97,1044.16,4148.84,389.87,5926.91,5369.96,4148.84,5926.91,,undefined
2027,10,52.75,2035166.95,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4813.03,3766.72,1046.31,4151.98,385.27,5931.41,5381.02,4151.98,5931.41,,undefined
2027,11,52.83,2036709.9,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4822.94,3774.48,1048.47,4155.13,380.66,5935.9,5392.11,4155.13,5935.9,,undefined
2027,12,52.92,2038254.02,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4832.87,3782.25,1050.62,4158.28,376.03,5940.4,5403.21,4158.28,5940.4,,undefined
2028,1,53.0,2039799.31,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4842.83,3790.04,1052.79,4161.44,371.39,5944.91,5414.34,4161.44,5944.91,,undefined
2028,2,53.08,2041345.76,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4852.81,3797.85,1054.96,4164.59,366.74,5949.41,5425.5,4164.59,5949.41,,undefined
2028,3,53.17,2042893.4,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4862.8,3805.67,1057.13,4167.75,362.08,5953.93,5436.67,4167.75,5953.93,,undefined
2028,4,53.25,2044442.2,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4872.82,3813.51,1059.31,4170.91,357.4,5958.44,5447.87,4170.91,5958.44,,undefined
2028,5,53.33,2045992.18,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4882.86,3821.36,1061.49,4174.07,352.7,5962.96,5459.09,4174.07,5962.96,,undefined
2028,6,53.42,2047543.33,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4892.91,3829.24,1063.68,4177.23,348.0,5967.48,5470.34,4177.23,5967.48,,undefined
2028,7,53.5,2049095.66,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4902.99,3837.12,1065.87,4180.4,343.28,5972.0,5481.61,4180.4,5972.0,,undefined
2028,8,53.58,2050649.17,0.045,0.02,0.025,0.0036748094,0.0020598363,-99.632519,0.0,0.0,4913.09,3845.03,1068.06,4183.57,338.54,5976.53,5492.9,4183.57,5976.53,,undefined
