year,month,age,portfolio_end,income,taxed_income,monthly_raw_expenses,raw_expenses,net_expenses,gross_up,event
2025,1,55.0,2024945.27,181200.0,123759.6,6100.0,73200.0,-50559.6,0.0,
2025,2,55.08,2037973.83,181200.0,123759.6,6114.85,73378.16,-50381.44,0.0,
2025,3,55.17,2051086.21,181200.0,123759.6,6129.73,73556.75,-50202.85,0.0,
2025,4,55.25,2064282.96,181200.0,123759.6,6144.65,73735.77,-50023.83,0.0,
2025,5,55.33,2077564.62,181200.0,123759.6,6159.6,73915.23,-49844.37,0.0,
2025,6,55.42,2090931.73,181200.0,123759.6,6174.59,74095.13,-49664.47,0.0,
2025,7,55.5,2104384.85,181200.0,123759.6,6189.62,74275.46,-49484.14,0.0,
2025,8,55.58,2117924.53,181200.0,123759.6,6204.69,74456.23,-49303.37,0.0,
2025,9,55.67,2131551.32,181200.0,123759.6,6219.79,74637.45,-49122.15,0.0,
2025,10,55.75,2145265.78,181200.0,123759.6,6234.93,74819.1,-48940.5,0.0,
2025,11,55.83,2159068.49,181200.0,123759.6,6250.1,75001.2,-48758.4,0.0,
2025,12,55.92,2172960.0,181200.0,123759.6,6265.31,75183.74,-48575.86,0.0,
2026,1,56.0,2186940.89,181200.0,123759.6,6280.56,75366.72,-48392.88,0.0,
2026,2,56.08,2201011.73,181200.0,123759.6,6295.85,75550.15,-48209.45,0.0,
2026,3,56.17,2215173.11,181200.0,123759.6,6311.17,75734.02,-48025.58,0.0,
2026,4,56.25,2229425.6,181200.0,123759.6,6326.53,75918.35,-47841.25,0.0,
2026,5,56.33,2243769.79,181200.0,123759.6,6341.93,76103.12,-47656.48,0.0,
2026,6,56.42,2258206.27,181200.0,123759.6,6357.36,76288.34,-47471.26,0.0,
2026,7,56.5,2272735.64,181200.0,123759.6,6372.83,76474.01,-47285.59,0.0,
2026,8,56.58,2287358.49,181200.0,123759.6,6388.34,76660.14,-47099.46,0.0,
2026,9,56.67,2302075.42,181200.0,123759.6,6403.89,76846.71,-46912.89,0.0,
2026,10,56.75,2316887.05,181200.0,123759.6,6419.48,77033.75,-46725.85,0.0,
2026,11,56.83,2331793.97,181200.0,123759.6,6435.1,77221.23,-46538.37,0.0,
2026,12,56.92,2346796.8,181200.0,123759.6,6450.76,77409.17,-46350.43,0.0,
2027,1,57.0,2361896.16,181200.0,123759.6,6466.46,77597.57,-46162.03,0.0,
2027,2,57.08,2377092.67,181200.0,123759.6,6482.2,77786.43,-45973.17,0.0,
2027,3,57.17,2392386.96,181200.0,123759.6,6497.98,77975.75,-45783.85,0.0,
2027,4,57.25,2407779.65,181200.0,123759.6,6513.79,78165.53,-45594.07,0.0,
2027,5,57.33,2423271.37,181200.0,123759.6,6529.65,78355.77,-45403.83,0.0,
2027,6,57.42,2438862.78,181200.0,123759.6,6545.54,78546.48,-45213.12,0.0,
2027,7,57.5,2454554.49,181200.0,123759.6,6561.47,78737.64,-45021.96,0.0,
2027,8,57.58,2470347.17,181200.0,123759.6,6577.44,78929.28,-44830.32,0.0,
2027,9,57.67,2486241.46,181200.0,123759.6,6593.45,79121.38,-44638.22,0.0,
2027,10,57.75,2502238.01,181200.0,123759.6,6609.5,79313.94,-44445.66,0.0,
2027,11,57.83,2518337.48,181200.0,123759.6,6625.58,79506.98,-44252.62,0.0,
2027,12,57.92,2534540.54,181200.0,123759.6,6641.71,79700.49,-44059.11,0.0,
2028,1,58.0,2550847.85,181200.0,123759.6,6657.87,79894.46,-43865.14,0.0,
2028,2,58.08,2567260.09,181200.0,123759.6,6674.08,80088.91,-43670.69,0.0,
2028,3,58.17,2583777.91,181200.0,123759.6,6690.32,80283.83,-43475.77,0.0,
2028,4,58.25,2600402.02,181200.0,123759.6,6706.6,80479.23,-43280.37,0.0,
2028,5,58.33,2617133.08,181200.0,123759.6,6722.93,80675.1,-43084.5,0.0,
2028,6,58.42,2633971.8,181200.0,123759.6,6739.29,80871.45,-42888.15,0.0,
2028,7,58.5,2650918.85,181200.0,123759.6,6755.69,81068.28,-42691.32,0.0,
2028,8,58.58,2667974.94,181200.0,123759.6,6772.13,81265.58,-42494.02,0.0,
2028,9,58.67,2685140.77,181200.0,123759.6,6788.61,81463.37,-42296.23,0.0,
2028,10,58.75,2702417.05,181200.0,123759.6,6805.14,81661.64,-42097.96,0.0,
2028,11,58.83,2719804.48,181200.0,123759.6,6821.7,81860.39,-41899.21,0.0,
2028,12,58.92,2737303.79,181200.0,123759.6,6838.3,82059.62,-41699.98,0.0,
2029,1,59.0,2754915.68,181200.0,123759.6,6854.94,82259.34,-41500.26,0.0,
2029,2,59.08,2772640.89,181200.0,123759.6,6871.63,82459.54,-41300.06,0.0,
2029,3,59.17,2790480.15,181200.0,123759.6,6888.35,82660.24,-41099.36,0.0,
2029,4,59.25,2808434.18,181200.0,123759.6,6905.12,82861.42,-40898.18,0.0,
2029,5,59.33,2826503.73,181200.0,123759.6,6921.92,83063.09,-40696.51,0.0,
2029,6,59.42,2844689.54,181200.0,123759.6,6938.77,83265.25,-40494.35,0.0,
2029,7,59.5,2862992.36,181200.0,123759.6,6955.66,83467.9,-40291.7,0.0,
2029,8,59.58,2881412.94,181200.0,123759.6,6972.59,83671.05,-40088.55,0.0,
2029,9,59.67,2899952.04,181200.0,123759.6,6989.56,83874.69,-39884.91,0.0,
2029,10,59.75,2918610.41,181200.0,123759.6,7006.57,84078.82,-39680.78,0.0,
2029,11,59.83,2937388.84,181200.0,123759.6,7023.62,84283.45,-39476.15,0.0,
2029,12,59.92,2956288.09,181200.0,123759.6,7040.72,84488.59,-39271.01,0.0,
2030,1,60.0,2975308.94,181200.0,123759.6,7057.85,84694.22,-39065.38,0.0,
